id_property,coordinate_lat,coordinate_lng,property_area,property_type,commercial_type,institutional_type,street_access,drainage,potential_to_build,wall_material,wall_condition,has_veranda,roof_material,roof_condition,window_material,aid_conditioning,has_security,has_pool,has_outbuilding,street_quality,domestic_use_of_groundfloor,street_lanes,tourist_area,environmental_hazard,main_road_high_visibility,informal_settlement,commercial_corridor,has_water
FCC0076241,8.43235,-13.1563,1456.1899,Commercial,Industrial Manufacturing,NA,Easy,Yes,Yes,Masonry,Good,No,Concrete,Good,Breeze Block,No,Yes,No,No,Good Road,No,Four,No,No,Yes,No,No,No
FCC0076673,8.47567,-13.2468,550.53,Commercial,Industrial Manufacturing,NA,Easy,Yes,Yes,Masonry,Average,No,Zinc / Metal Sheeting,Average,No Windows,No,No,No,No,Good Road,No,Two,No,No,No,No,No,Yes
FCC0076779,8.48956,-13.2273,612.19,Commercial,Industrial Warehouse,NA,Easy,Yes,Yes,Masonry,Average,No,Concrete,Average,Traditional glazed casement set in metal frame or wood frame,No,No,No,No,Average Road,No,One,No,No,No,Yes,No,No
FCC0076993,8.44968,-13.1667,840.14,Commercial,Industrial Warehouse,NA,Easy,No,Yes,Masonry,Average,No,Zinc / Metal Sheeting,Average,Breeze Block,No,No,No,Yes,Average Road,No,One,No,No,No,No,No,No
FCC0077265,8.4007,-13.1539,513.37,Commercial,Industrial Manufacturing,NA,Easy,No,No,Masonry,Average,No,Concrete,Not Visible,No Windows,No,No,No,No,Average Road,No,One,No,No,No,No,No,Yes
FCC0077710,8.43999,-13.1605,6536.5203,Commercial,Industrial Manufacturing,NA,Easy,Yes,No,Masonry,Average,No,Concrete,Average,No Windows,No,No,No,No,Good Road,No,Four,No,No,No,No,No,No
FCC0077710,8.43999,-13.1605,2178.8401,Domestic,Industrial Manufacturing,NA,Easy,Yes,No,Masonry,Average,No,Concrete,Average,No Windows,No,No,No,No,Good Road,No,Four,No,No,No,No,No,No
FCC0077802,8.4885,-13.2242,986.67,Commercial,Industrial Warehouse,NA,Easy,Yes,No,Masonry,Average,Yes,Zinc / Metal Sheeting,Average,Wood,No,No,No,No,Average Road,Yes,One,No,No,No,No,Yes,No
FCC0077802,8.4885,-13.2242,986.67,Domestic,Industrial Warehouse,NA,Easy,Yes,No,Masonry,Average,Yes,Zinc / Metal Sheeting,Average,Wood,No,No,No,No,Average Road,Yes,One,No,No,No,No,Yes,No
FCC0078001,8.46197,-13.1749,236.65,Commercial,Industrial Manufacturing,NA,Difficult,No,Yes,Masonry,Good,Yes,Zinc / Metal Sheeting,Average,Louvre,No,No,No,Yes,Bad Road,Yes,None,No,No,No,No,No,No
FCC0078001,8.46197,-13.1749,236.65,Domestic,Industrial Manufacturing,NA,Difficult,No,Yes,Masonry,Good,Yes,Zinc / Metal Sheeting,Average,Louvre,No,No,No,Yes,Bad Road,Yes,None,No,No,No,No,No,No
FCC0078342,8.48799,-13.2176,2182.335,Commercial,Industrial Warehouse,NA,Easy,No,No,Masonry,Average,No,Concrete,Average,Louvre,No,Yes,No,Yes,Average Road,Yes,Two,No,No,No,No,No,Yes
FCC0078342,8.48799,-13.2176,727.445,Domestic,Industrial Warehouse,NA,Easy,No,No,Masonry,Average,No,Concrete,Average,Louvre,No,Yes,No,Yes,Average Road,Yes,Two,No,No,No,No,No,Yes
FCC0078515,8.41307,-13.1449,2812.3701,Commercial,Industrial Warehouse,NA,Easy,No,No,Masonry,Average,Yes,Zinc / Metal Sheeting,Average,Traditional glazed casement set in metal frame or wood frame,No,No,No,No,Good Road,No,Four,No,No,Yes,No,No,No
FCC0078522,8.48904,-13.2864,1074.89,Commercial,Industrial Warehouse,NA,Easy,Yes,No,Masonry,Average,No,Not Visible,Not Visible,No Windows,No,No,No,Yes,Average Road,No,One,No,No,No,No,No,Yes
FCC0078528,8.48287,-13.2046,877.2,Commercial,Industrial Warehouse,NA,Easy,Yes,No,Masonry,Average,No,Zinc / Metal Sheeting,Good,No Windows,No,No,No,Yes,Good Road,No,Two,No,No,No,No,No,Yes
FCC0079064,8.48823,-13.2196,218.15,Commercial,Industrial Manufacturing,NA,Easy,Yes,No,Masonry,Average,No,Zinc / Metal Sheeting,Average,Wood,No,No,No,No,Average Road,No,One,No,No,No,No,No,No
FCC0079179,8.47459,-13.2544,397.3025,Commercial,Industrial Warehouse,NA,Easy,Yes,No,Masonry,Good,Yes,Zinc / Metal Sheeting,Average,Wood,No,No,No,No,Average Road,Yes,Two,No,No,No,No,No,No
FCC0079179,8.47459,-13.2544,1191.9075,Domestic,Industrial Warehouse,NA,Easy,Yes,No,Masonry,Good,Yes,Zinc / Metal Sheeting,Average,Wood,No,No,No,No,Average Road,Yes,Two,No,No,No,No,No,No
FCC0079441,8.48962,-13.2243,49.54,Commercial,Industrial Warehouse,NA,Difficult,Yes,No,Masonry,Average,No,Zinc / Metal Sheeting,Good,Wood,No,No,No,No,Average Road,Yes,One,No,No,No,No,No,Yes
FCC0079441,8.48962,-13.2243,148.62,Domestic,Industrial Warehouse,NA,Difficult,Yes,No,Masonry,Average,No,Zinc / Metal Sheeting,Good,Wood,No,No,No,No,Average Road,Yes,One,No,No,No,No,No,Yes
FCC0079578,8.47036,-13.2399,660.01,Commercial,Industrial Warehouse,NA,Easy,Yes,No,Zinc,Bad,Yes,Zinc / Metal Sheeting,Bad,Wood,No,No,No,No,Average Road,No,Two,No,No,No,No,No,Yes
FCC0083985,8.48347,-13.2416,49.675,Commercial,Industrial Warehouse,NA,Easy,Yes,No,Zinc,Average,No,Zinc / Metal Sheeting,Average,Wood,No,No,No,No,Good Road,Yes,Two,No,No,No,No,No,Yes
FCC0083985,8.48347,-13.2416,149.025,Domestic,Industrial Warehouse,NA,Easy,Yes,No,Zinc,Average,No,Zinc / Metal Sheeting,Average,Wood,No,No,No,No,Good Road,Yes,Two,No,No,No,No,No,Yes
FCC0016166,8.4877,-13.2206,302,Commercial,Industrial Warehouse,NA,Easy,No,No,Masonry,Average,Yes,Zinc / Metal Sheeting,Average,Wood,No,No,No,Yes,Average Road,No,None,No,No,No,No,No,No
FCC0041567,8.49045,-13.2254,906.63,Commercial,Industrial Warehouse,NA,Difficult,No,No,Masonry,Average,No,Zinc / Metal Sheeting,Average,No Windows,No,No,No,Yes,Bad Road,No,None,No,No,No,Yes,No,No
FCC0092389,8.4856,-13.2434,4524.71,Commercial,Industrial Warehouse,NA,Easy,Yes,Yes,Masonry,Average,No,Zinc / Metal Sheeting,Average,No Windows,No,No,No,Yes,Bad Road,No,Two,No,No,No,No,No,Yes
FCC0096456,8.4768,-13.2454,784.84,Commercial,Industrial Warehouse,NA,Difficult,Yes,Yes,Masonry,Average,No,Zinc / Metal Sheeting,Average,Louvre,No,No,No,No,Bad Road,No,None,No,Yes,No,No,No,No
FCC0081401,8.49012,-13.2139,876.36,Commercial,Industrial Warehouse,NA,Easy,No,No,Zinc,Good,No,Zinc / Metal Sheeting,Good,Wood,No,No,No,No,Average Road,No,Two,No,No,No,No,No,Yes
FCC0014458,8.47516,-13.1943,573.37,Commercial,Industrial Manufacturing,NA,Easy,Yes,No,Masonry,Good,No,Concrete,Good,Sliding panels with aluminium frame,No,No,No,No,Good Road,No,Four,No,No,No,No,No,Yes
FCC0085106,8.48321,-13.2399,1531.9,Commercial,Industrial Warehouse,NA,Easy,Yes,No,Masonry,Average,No,Zinc / Metal Sheeting,Average,No Windows,No,No,No,No,Average Road,No,Two,No,No,No,No,No,Yes
