id_property,made_payment
FCC0000708,TRUE
FCC0000717,TRUE
FCC0000722,TRUE
FCC0000727,TRUE
FCC0000727,TRUE
FCC0000735,TRUE
FCC0000737,TRUE
FCC0000740,TRUE
FCC0000740,TRUE
FCC0000741,TRUE
FCC0000745,TRUE
FCC0000745,TRUE
FCC0000747,TRUE
FCC0000750,TRUE
FCC0000751,TRUE
FCC0000752,TRUE
FCC0000754,TRUE
FCC0000756,TRUE
FCC0000761,TRUE
FCC0000762,TRUE
FCC0000768,TRUE
FCC0000774,TRUE
FCC0000774,TRUE
FCC0000776,TRUE
FCC0000784,TRUE
FCC0000787,TRUE
FCC0000787,TRUE
FCC0000789,TRUE
FCC0000796,TRUE
FCC0000801,TRUE
FCC0000803,TRUE
FCC0000803,TRUE
FCC0000804,TRUE
FCC0000804,TRUE
FCC0000804,TRUE
FCC0000804,TRUE
FCC0000804,TRUE
FCC0000808,TRUE
FCC0000810,TRUE
FCC0000811,TRUE
FCC0000814,TRUE
FCC0000814,TRUE
FCC0000814,TRUE
FCC0000820,TRUE
FCC0000821,TRUE
FCC0000821,TRUE
FCC0000822,TRUE
FCC0000822,TRUE
FCC0000822,TRUE
FCC0000822,TRUE
FCC0000823,TRUE
FCC0000828,TRUE
FCC0000828,TRUE
FCC0000840,TRUE
FCC0000840,TRUE
FCC0000853,TRUE
FCC0000853,TRUE
FCC0000854,TRUE
FCC0000854,TRUE
FCC0000857,TRUE
FCC0000857,TRUE
FCC0000859,TRUE
FCC0000861,TRUE
FCC0000862,TRUE
FCC0000862,TRUE
FCC0000863,TRUE
FCC0000863,TRUE
FCC0000866,TRUE
FCC0000866,TRUE
FCC0000868,TRUE
FCC0000868,TRUE
FCC0000869,TRUE
FCC0000869,TRUE
FCC0000874,TRUE
FCC0000878,TRUE
FCC0000882,TRUE
FCC0000887,TRUE
FCC0000888,TRUE
FCC0000897,TRUE
FCC0000897,TRUE
FCC0000897,TRUE
FCC0000897,TRUE
FCC0000908,TRUE
FCC0000915,TRUE
FCC0000918,TRUE
FCC0000922,TRUE
FCC0000922,TRUE
FCC0000922,TRUE
FCC0000922,TRUE
FCC0000922,TRUE
FCC0000925,TRUE
FCC0000925,TRUE
FCC0000926,TRUE
FCC0000926,TRUE
FCC0000930,TRUE
FCC0000935,TRUE
FCC0000948,TRUE
FCC0000954,TRUE
FCC0000960,TRUE
FCC0000960,TRUE
FCC0000966,TRUE
FCC0000966,TRUE
FCC0000966,TRUE
FCC0000966,TRUE
FCC0000966,TRUE
FCC0000967,TRUE
FCC0000970,TRUE
FCC0000973,TRUE
FCC0000978,TRUE
FCC0000978,TRUE
FCC0000981,TRUE
FCC0000991,TRUE
FCC0000993,TRUE
FCC0000993,TRUE
FCC0000995,TRUE
FCC0000996,TRUE
FCC0001000,TRUE
FCC0001005,TRUE
FCC0001014,TRUE
FCC0001014,TRUE
FCC0001018,TRUE
FCC0001023,TRUE
FCC0001029,TRUE
FCC0001031,TRUE
FCC0001031,TRUE
FCC0001032,TRUE
FCC0001039,TRUE
FCC0001039,TRUE
FCC0001041,TRUE
FCC0001046,TRUE
FCC0001046,TRUE
FCC0001046,TRUE
FCC0001047,TRUE
FCC0001052,TRUE
FCC0001052,TRUE
FCC0001054,TRUE
FCC0001059,TRUE
FCC0001062,TRUE
FCC0001069,TRUE
FCC0001084,TRUE
FCC0001085,TRUE
FCC0001095,TRUE
FCC0001097,TRUE
FCC0001098,TRUE
FCC0001099,TRUE
FCC0001104,TRUE
FCC0001107,TRUE
FCC0001107,TRUE
FCC0001110,TRUE
FCC0001110,TRUE
FCC0001111,TRUE
FCC0001112,TRUE
FCC0001112,TRUE
FCC0001118,TRUE
FCC0001122,TRUE
FCC0001123,TRUE
FCC0001125,TRUE
FCC0001129,TRUE
FCC0001129,TRUE
FCC0001130,TRUE
FCC0001130,TRUE
FCC0001134,TRUE
FCC0001138,TRUE
FCC0001146,TRUE
FCC0001147,TRUE
FCC0001147,TRUE
FCC0001147,TRUE
FCC0001153,TRUE
FCC0001155,TRUE
FCC0001157,TRUE
FCC0001161,TRUE
FCC0001161,TRUE
FCC0001161,TRUE
FCC0001161,TRUE
FCC0001161,TRUE
FCC0001161,TRUE
FCC0001161,TRUE
FCC0001166,TRUE
FCC0001195,TRUE
FCC0001197,TRUE
FCC0001211,TRUE
FCC0001211,TRUE
FCC0001220,TRUE
FCC0001220,TRUE
FCC0001230,TRUE
FCC0001231,TRUE
FCC0001235,TRUE
FCC0001238,TRUE
FCC0001242,TRUE
FCC0001264,TRUE
FCC0001264,TRUE
FCC0001266,TRUE
FCC0001269,TRUE
FCC0001276,TRUE
FCC0001277,TRUE
FCC0001277,TRUE
FCC0001284,TRUE
FCC0001287,TRUE
FCC0001287,TRUE
FCC0001294,TRUE
FCC0001294,TRUE
FCC0001295,TRUE
FCC0001296,TRUE
FCC0001296,TRUE
FCC0001301,TRUE
FCC0001302,TRUE
FCC0001302,TRUE
FCC0001309,TRUE
FCC0001309,TRUE
FCC0001312,TRUE
FCC0001312,TRUE
FCC0001324,TRUE
FCC0001325,TRUE
FCC0001325,TRUE
FCC0001328,TRUE
FCC0001328,TRUE
FCC0001337,TRUE
FCC0001338,TRUE
FCC0001341,TRUE
FCC0001341,TRUE
FCC0001348,TRUE
FCC0001348,TRUE
FCC0001352,TRUE
FCC0001354,TRUE
FCC0001354,TRUE
FCC0001355,TRUE
FCC0001356,TRUE
FCC0001369,TRUE
FCC0001369,TRUE
FCC0001376,TRUE
FCC0001376,TRUE
FCC0001376,TRUE
FCC0001376,TRUE
FCC0001377,TRUE
FCC0001377,TRUE
FCC0001380,TRUE
FCC0001389,TRUE
FCC0001389,TRUE
FCC0001395,TRUE
FCC0001403,TRUE
FCC0001403,TRUE
FCC0001409,TRUE
FCC0001411,TRUE
FCC0001412,TRUE
FCC0001412,TRUE
FCC0001414,TRUE
FCC0001414,TRUE
FCC0001414,TRUE
FCC0001425,TRUE
FCC0001426,TRUE
FCC0001429,TRUE
FCC0001431,TRUE
FCC0001431,TRUE
FCC0001433,TRUE
FCC0001442,TRUE
FCC0001442,TRUE
FCC0001443,TRUE
FCC0001444,TRUE
FCC0001446,TRUE
FCC0001451,TRUE
FCC0001458,TRUE
FCC0001458,TRUE
FCC0001462,TRUE
FCC0001462,TRUE
FCC0001462,TRUE
FCC0001462,TRUE
FCC0001463,TRUE
FCC0001463,TRUE
FCC0001465,TRUE
FCC0001465,TRUE
FCC0001470,TRUE
FCC0001470,TRUE
FCC0001471,TRUE
FCC0001472,TRUE
FCC0001476,TRUE
FCC0001482,TRUE
FCC0001488,TRUE
FCC0001488,TRUE
FCC0001491,TRUE
FCC0001493,TRUE
FCC0001493,TRUE
FCC0001499,TRUE
FCC0001499,TRUE
FCC0001503,TRUE
FCC0001503,TRUE
FCC0001505,TRUE
FCC0001533,TRUE
FCC0001541,TRUE
FCC0001541,TRUE
FCC0001550,TRUE
FCC0001552,TRUE
FCC0001552,TRUE
FCC0001554,TRUE
FCC0001558,TRUE
FCC0001568,TRUE
FCC0001570,TRUE
FCC0001570,TRUE
FCC0001571,TRUE
FCC0001573,TRUE
FCC0001573,TRUE
FCC0001576,TRUE
FCC0001576,TRUE
FCC0001580,TRUE
FCC0001580,TRUE
FCC0001581,TRUE
FCC0001596,TRUE
FCC0001596,TRUE
FCC0001599,TRUE
FCC0001604,TRUE
FCC0001607,TRUE
FCC0001607,TRUE
FCC0001608,TRUE
FCC0001611,TRUE
FCC0001611,TRUE
FCC0001612,TRUE
FCC0001613,TRUE
FCC0001622,TRUE
FCC0001622,TRUE
FCC0001629,TRUE
FCC0001629,TRUE
FCC0001633,TRUE
FCC0001634,TRUE
FCC0001636,TRUE
FCC0001636,TRUE
FCC0001646,TRUE
FCC0001646,TRUE
FCC0001648,TRUE
FCC0001649,TRUE
FCC0001649,TRUE
FCC0001660,TRUE
FCC0001661,TRUE
FCC0001661,TRUE
FCC0001672,TRUE
FCC0001675,TRUE
FCC0001675,TRUE
FCC0001676,TRUE
FCC0001676,TRUE
FCC0001681,TRUE
FCC0001684,TRUE
FCC0001686,TRUE
FCC0001688,TRUE
FCC0001688,TRUE
FCC0001689,TRUE
FCC0001690,TRUE
FCC0001690,TRUE
FCC0001699,TRUE
FCC0001711,TRUE
FCC0001711,TRUE
FCC0001715,TRUE
FCC0001715,TRUE
FCC0001721,TRUE
FCC0001728,TRUE
FCC0001728,TRUE
FCC0001734,TRUE
FCC0001734,TRUE
FCC0001742,TRUE
FCC0001745,TRUE
FCC0001759,TRUE
FCC0001765,TRUE
FCC0001765,TRUE
FCC0001767,TRUE
FCC0001771,TRUE
FCC0001771,TRUE
FCC0001772,TRUE
FCC0001775,TRUE
FCC0001775,TRUE
FCC0001776,TRUE
FCC0001785,TRUE
FCC0001786,TRUE
FCC0001801,TRUE
FCC0001801,TRUE
FCC0001805,TRUE
FCC0001807,TRUE
FCC0001807,TRUE
FCC0001808,TRUE
FCC0001808,TRUE
FCC0001814,TRUE
FCC0001823,TRUE
FCC0001834,TRUE
FCC0001843,TRUE
FCC0001844,TRUE
FCC0001855,TRUE
FCC0001855,TRUE
FCC0001856,TRUE
FCC0001856,TRUE
FCC0001857,TRUE
FCC0001859,TRUE
FCC0001867,TRUE
FCC0001877,TRUE
FCC0001880,TRUE
FCC0001880,TRUE
FCC0001880,TRUE
FCC0001887,TRUE
FCC0001888,TRUE
FCC0001888,TRUE
FCC0001895,TRUE
FCC0001895,TRUE
FCC0001903,TRUE
FCC0001903,TRUE
FCC0001911,TRUE
FCC0001911,TRUE
FCC0001921,TRUE
FCC0001921,TRUE
FCC0001924,TRUE
FCC0001930,TRUE
FCC0001930,TRUE
FCC0001933,TRUE
FCC0001935,TRUE
