id_property,made_payment
FCC0001801,TRUE
FCC0001807,TRUE
FCC0001808,TRUE
FCC0001814,TRUE
FCC0001855,TRUE
FCC0001857,TRUE
FCC0001859,TRUE
FCC0001867,TRUE
FCC0001870,TRUE
FCC0001871,TRUE
FCC0001880,TRUE
FCC0001888,TRUE
FCC0001895,TRUE
FCC0001903,TRUE
FCC0001911,TRUE
FCC0001921,TRUE
FCC0001930,TRUE
FCC0001937,TRUE
FCC0001944,TRUE
FCC0001953,TRUE
FCC0001958,TRUE
FCC0001960,TRUE
FCC0001969,TRUE
FCC0001978,TRUE
FCC0001987,TRUE
FCC0001998,TRUE
FCC0002006,TRUE
FCC0002014,TRUE
FCC0002029,TRUE
FCC0002030,TRUE
FCC0002036,TRUE
FCC0002041,TRUE
FCC0002050,TRUE
FCC0002062,TRUE
FCC0002064,TRUE
FCC0002072,TRUE
FCC0002101,TRUE
FCC0002103,TRUE
FCC0002108,TRUE
FCC0002124,TRUE
FCC0002129,TRUE
FCC0002130,TRUE
FCC0002131,TRUE
FCC0002132,TRUE
FCC0002137,TRUE
FCC0002162,TRUE
FCC0002190,TRUE
FCC0002194,TRUE
FCC0002196,TRUE
FCC0002199,TRUE
FCC0002202,TRUE
FCC0002208,TRUE
FCC0002223,TRUE
FCC0002232,TRUE
FCC0002233,TRUE
FCC0002240,TRUE
FCC0002241,TRUE
FCC0002251,TRUE
FCC0002267,TRUE
FCC0002282,TRUE
FCC0002284,TRUE
FCC0002289,TRUE
FCC0002290,TRUE
FCC0002302,TRUE
FCC0002307,TRUE
FCC0002308,TRUE
FCC0002309,TRUE
FCC0002336,TRUE
FCC0002337,TRUE
FCC0002348,TRUE
FCC0002366,TRUE
FCC0002368,TRUE
FCC0002376,TRUE
FCC0002381,TRUE
FCC0002384,TRUE
FCC0002400,TRUE
FCC0002401,TRUE
FCC0002402,TRUE
FCC0002403,TRUE
FCC0002404,TRUE
FCC0002411,TRUE
FCC0002424,TRUE
FCC0002440,TRUE
FCC0002444,TRUE
FCC0002453,TRUE
FCC0002460,TRUE
FCC0002463,TRUE
FCC0002467,TRUE
FCC0002470,TRUE
FCC0002479,TRUE
FCC0002496,TRUE
FCC0002515,TRUE
FCC0002524,TRUE
FCC0002526,TRUE
FCC0002531,TRUE
FCC0002535,TRUE
FCC0002545,TRUE
FCC0002551,TRUE
FCC0002556,TRUE
FCC0002560,TRUE
FCC0002561,TRUE
FCC0002566,TRUE
FCC0002583,TRUE
FCC0002601,TRUE
FCC0002628,TRUE
FCC0002634,TRUE
FCC0002649,TRUE
FCC0002651,TRUE
FCC0002659,TRUE
FCC0002660,TRUE
FCC0002667,TRUE
FCC0002681,TRUE
FCC0002691,TRUE
FCC0002702,TRUE
FCC0002705,TRUE
FCC0002714,TRUE
FCC0002725,TRUE
FCC0002730,TRUE
FCC0002736,TRUE
FCC0002743,TRUE
FCC0002747,TRUE
FCC0002754,TRUE
FCC0002755,TRUE
FCC0002758,TRUE
FCC0002765,TRUE
FCC0002767,TRUE
FCC0002769,TRUE
FCC0002770,TRUE
FCC0002772,TRUE
FCC0002776,TRUE
FCC0002778,TRUE
FCC0002783,TRUE
FCC0002789,TRUE
FCC0002793,TRUE
FCC0002805,TRUE
FCC0002809,TRUE
FCC0002815,TRUE
FCC0002817,TRUE
FCC0002823,TRUE
FCC0002824,TRUE
FCC0002831,TRUE
FCC0002838,TRUE
FCC0002844,TRUE
FCC0002883,TRUE
FCC0002886,TRUE
FCC0002902,TRUE
FCC0002903,TRUE
FCC0002906,TRUE
FCC0002907,TRUE
FCC0002918,TRUE
FCC0002919,TRUE
FCC0002922,TRUE
FCC0002927,TRUE
FCC0002937,TRUE
FCC0002938,TRUE
FCC0002942,TRUE
FCC0002943,TRUE
FCC0002966,TRUE
FCC0002980,TRUE
FCC0002988,TRUE
FCC0002994,TRUE
FCC0002996,TRUE
FCC0003009,TRUE
FCC0003011,TRUE
FCC0003016,TRUE
FCC0003022,TRUE
FCC0003024,TRUE
FCC0003032,TRUE
FCC0003038,TRUE
FCC0003042,TRUE
FCC0003047,TRUE
FCC0003049,TRUE
FCC0003051,TRUE
FCC0003055,TRUE
FCC0003082,TRUE
FCC0003086,TRUE
FCC0003087,TRUE
FCC0003103,TRUE
FCC0003105,TRUE
FCC0003122,TRUE
FCC0003124,TRUE
FCC0003141,TRUE
FCC0003149,TRUE
FCC0003165,TRUE
FCC0003172,TRUE
FCC0003178,TRUE
FCC0003185,TRUE
FCC0003191,TRUE
FCC0003196,TRUE
FCC0003204,TRUE
FCC0003215,TRUE
FCC0003218,TRUE
FCC0003222,TRUE
FCC0003224,TRUE
FCC0003225,TRUE
FCC0003230,TRUE
FCC0003236,TRUE
FCC0003241,TRUE
FCC0003243,TRUE
FCC0003261,TRUE
FCC0003264,TRUE
FCC0003272,TRUE
FCC0003274,TRUE
FCC0003279,TRUE
FCC0003297,TRUE
FCC0003302,TRUE
FCC0003307,TRUE
FCC0003312,TRUE
FCC0003325,TRUE
FCC0003330,TRUE
FCC0003336,TRUE
FCC0003344,TRUE
FCC0003359,TRUE
FCC0003373,TRUE
FCC0003382,TRUE
FCC0003383,TRUE
FCC0003419,TRUE
FCC0003420,TRUE
FCC0003428,TRUE
FCC0003433,TRUE
FCC0003442,TRUE
FCC0003446,TRUE
FCC0003456,TRUE
FCC0003458,TRUE
FCC0003459,TRUE
FCC0003460,TRUE
FCC0003473,TRUE
FCC0003496,TRUE
FCC0003499,TRUE
FCC0003523,TRUE
FCC0003527,TRUE
FCC0003531,TRUE
FCC0003547,TRUE
FCC0003548,TRUE
FCC0003553,TRUE
FCC0003558,TRUE
FCC0003562,TRUE
FCC0003564,TRUE
FCC0003566,TRUE
FCC0003584,TRUE
FCC0003587,TRUE
FCC0003593,TRUE
FCC0003611,TRUE
FCC0003612,TRUE
FCC0003627,TRUE
FCC0003628,TRUE
FCC0003629,TRUE
FCC0003631,TRUE
FCC0003635,TRUE
FCC0003636,TRUE
FCC0003648,TRUE
FCC0003660,TRUE
FCC0003661,TRUE
FCC0003664,TRUE
FCC0003666,TRUE
FCC0003682,TRUE
FCC0003695,TRUE
FCC0003698,TRUE
FCC0003710,TRUE
FCC0003715,TRUE
FCC0003717,TRUE
FCC0003725,TRUE
FCC0003732,TRUE
FCC0003745,TRUE
FCC0003746,TRUE
FCC0003752,TRUE
FCC0003763,TRUE
FCC0003765,TRUE
FCC0003771,TRUE
FCC0003772,TRUE
FCC0003777,TRUE
FCC0003782,TRUE
FCC0003783,TRUE
FCC0003797,TRUE
FCC0003809,TRUE
FCC0003820,TRUE
FCC0003822,TRUE
FCC0003824,TRUE
FCC0003850,TRUE
FCC0003859,TRUE
FCC0003864,TRUE
FCC0003881,TRUE
FCC0003895,TRUE
FCC0003899,TRUE
FCC0003902,TRUE
FCC0003905,TRUE
FCC0003909,TRUE
FCC0003922,TRUE
FCC0003923,TRUE
FCC0003931,TRUE
FCC0003951,TRUE
FCC0003953,TRUE
FCC0003956,TRUE
FCC0003969,TRUE
FCC0003971,TRUE
FCC0003986,TRUE
FCC0003992,TRUE
FCC0003995,TRUE
FCC0004007,TRUE
FCC0004022,TRUE
FCC0004040,TRUE
FCC0004054,TRUE
FCC0004068,TRUE
FCC0004072,TRUE
FCC0004077,TRUE
FCC0004079,TRUE
FCC0004087,TRUE
FCC0004096,TRUE
FCC0004098,TRUE
FCC0004102,TRUE
FCC0004121,TRUE
FCC0004127,TRUE
FCC0004130,TRUE
FCC0004135,TRUE
FCC0004140,TRUE
FCC0004143,TRUE
FCC0004155,TRUE
FCC0004160,TRUE
FCC0004163,TRUE
FCC0004170,TRUE
FCC0004173,TRUE
FCC0004174,TRUE
FCC0004179,TRUE
FCC0004181,TRUE
FCC0004197,TRUE
FCC0004225,TRUE
FCC0004230,TRUE
FCC0004236,TRUE
FCC0004250,TRUE
FCC0004257,TRUE
FCC0004265,TRUE
FCC0004269,TRUE
FCC0004278,TRUE
FCC0004289,TRUE
FCC0004290,TRUE
FCC0004307,TRUE
FCC0004309,TRUE
FCC0004314,TRUE
FCC0004317,TRUE
FCC0004328,TRUE
FCC0004331,TRUE
FCC0004344,TRUE
FCC0004350,TRUE
FCC0004354,TRUE
FCC0004357,TRUE
FCC0004363,TRUE
FCC0004367,TRUE
FCC0004371,TRUE
FCC0004378,TRUE
FCC0004383,TRUE
FCC0004387,TRUE
FCC0004425,TRUE
FCC0004459,TRUE
FCC0004461,TRUE
FCC0004468,TRUE
FCC0004479,TRUE
FCC0004491,TRUE
FCC0004493,TRUE
FCC0004496,TRUE
FCC0004506,TRUE
FCC0004510,TRUE
FCC0004515,TRUE
FCC0004516,TRUE
FCC0004525,TRUE
FCC0004531,TRUE
FCC0004532,TRUE
FCC0004546,TRUE
FCC0004563,TRUE
FCC0004567,TRUE
FCC0004568,TRUE
FCC0004578,TRUE
FCC0004581,TRUE
FCC0004587,TRUE
FCC0004595,TRUE
FCC0004598,TRUE
FCC0004609,TRUE
FCC0004613,TRUE
FCC0004615,TRUE
FCC0004622,TRUE
FCC0004637,TRUE
FCC0004645,TRUE
FCC0004647,TRUE
FCC0004650,TRUE
FCC0004652,TRUE
FCC0004660,TRUE
FCC0004669,TRUE
FCC0004672,TRUE
FCC0004712,TRUE
FCC0004719,TRUE
FCC0004720,TRUE
FCC0004721,TRUE
FCC0004722,TRUE
FCC0004725,TRUE
FCC0004735,TRUE
FCC0004743,TRUE
FCC0004745,TRUE
FCC0004752,TRUE
FCC0004759,TRUE
FCC0004775,TRUE
FCC0004794,TRUE
FCC0004800,TRUE
FCC0004810,TRUE
FCC0004818,TRUE
FCC0004824,TRUE
FCC0004827,TRUE
FCC0004832,TRUE
FCC0004835,TRUE
FCC0004837,TRUE
FCC0004843,TRUE
FCC0004851,TRUE
FCC0004858,TRUE
FCC0004867,TRUE
FCC0004878,TRUE
FCC0004881,TRUE
FCC0004886,TRUE
FCC0004901,TRUE
FCC0004907,TRUE
FCC0004910,TRUE
FCC0004912,TRUE
FCC0004922,TRUE
FCC0004926,TRUE
FCC0004928,TRUE
FCC0004932,TRUE
FCC0004944,TRUE
FCC0004955,TRUE
FCC0004960,TRUE
FCC0004967,TRUE
FCC0004968,TRUE
FCC0004970,TRUE
FCC0004991,TRUE
FCC0004995,TRUE
FCC0004996,TRUE
FCC0004999,TRUE
FCC0005022,TRUE
FCC0005027,TRUE
FCC0005050,TRUE
FCC0005051,TRUE
FCC0005067,TRUE
FCC0005082,TRUE
FCC0005085,TRUE
FCC0005087,TRUE
FCC0005088,TRUE
FCC0005092,TRUE
FCC0005096,TRUE
FCC0005106,TRUE
FCC0005108,TRUE
FCC0005113,TRUE
FCC0005117,TRUE
FCC0005118,TRUE
FCC0005122,TRUE
FCC0005129,TRUE
FCC0005130,TRUE
FCC0005133,TRUE
FCC0005143,TRUE
FCC0005158,TRUE
FCC0005167,TRUE
FCC0005174,TRUE
FCC0005176,TRUE
FCC0005179,TRUE
FCC0005187,TRUE
FCC0005192,TRUE
FCC0005213,TRUE
FCC0005218,TRUE
FCC0005224,TRUE
FCC0005227,TRUE
FCC0005229,TRUE
FCC0005236,TRUE
FCC0005242,TRUE
FCC0005251,TRUE
FCC0005267,TRUE
FCC0005270,TRUE
FCC0005273,TRUE
FCC0005285,TRUE
FCC0005286,TRUE
FCC0005288,TRUE
FCC0005289,TRUE
FCC0005290,TRUE
FCC0005296,TRUE
FCC0005307,TRUE
FCC0005315,TRUE
FCC0005320,TRUE
FCC0005331,TRUE
FCC0005333,TRUE
FCC0005334,TRUE
FCC0005338,TRUE
FCC0005339,TRUE
FCC0005351,TRUE
FCC0005360,TRUE
FCC0005386,TRUE
FCC0005411,TRUE
FCC0005412,TRUE
FCC0005424,TRUE
FCC0005432,TRUE
FCC0005438,TRUE
FCC0005442,TRUE
FCC0005443,TRUE
FCC0005456,TRUE
FCC0005458,TRUE
FCC0005459,TRUE
FCC0005460,TRUE
FCC0005461,TRUE
FCC0005465,TRUE
FCC0005470,TRUE
FCC0005473,TRUE
FCC0005484,TRUE
FCC0005492,TRUE
FCC0005493,TRUE
FCC0005497,TRUE
FCC0005510,TRUE
FCC0005511,TRUE
FCC0005518,TRUE
FCC0005544,TRUE
FCC0005547,TRUE
FCC0005564,TRUE
FCC0005566,TRUE
FCC0005568,TRUE
FCC0005577,TRUE
FCC0005586,TRUE
FCC0005596,TRUE
FCC0005612,TRUE
FCC0005619,TRUE
FCC0005621,TRUE
FCC0005643,TRUE
FCC0005653,TRUE
