id_property,coordinate_lat,coordinate_lng,property_area,property_type,commercial_type,institutional_type,street_access,drainage,potential_to_build,wall_material,wall_condition,has_veranda,roof_material,roof_condition,window_material,air_conditioning,has_security,has_pool,has_outbuilding,street_quality,street_lanes,main_road_high_visibility,domestic_use_groundfloor,has_water,old_tourist_area,old_environmental_hazard,old_informal_settlement,old_commercial_corridor,aberdeen_lumley_tourist,juba_levuma_tourist,buffered_commercial_corridors,cbd,dock_industrial,kissy_industrial_area,kissy_texaco_terminal_area,wellington_industrial_estate,hazardous_zones,informal_settlements,ward_number,ward_rank
FCC0000001,8.475522,-13.246296,319.26,Domestic,NA,NA,Easy,Yes,No,Masonry,Average,Yes,Zinc / Metal Sheeting,Average,Louvre,No,No,No,Yes,Like New,One,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,432,Medium
FCC0000002,8.47076,-13.197604,227.24,Domestic,NA,NA,Difficult,No,No,Zinc,Good,Yes,Zinc / Metal Sheeting,Good,Wood,No,No,No,Yes,Poor,None,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,418,Low
